"papel","cotacao","P/L","P/VP","PSR","div.yield","P/ativo","P/cap.giro","P/EBIT","P/ativ_circ.liq","EV/EBIT","EV/EBITDA","mrg_ebit","mrg.Liq","liq.corr","ROIC","ROE","liq.2meses","patrim.liq","div.brut/patrim","cresc.rec.5a","data"
"ESTR4",27.9,-0.78,-0.05,0.217,0,0.107,-0.05,-2.43,-0.04,-7.06,-11.67,-0.08929999999999999,-0.2781,0.16,-0.049,0.0588,158875,-491461000,-0.09,-0.09300000000000001,"2020-10-26T16:09:53.719Z"
"TECN3",1.09,-0.77,0.28,0.36,0,0.131,0.44,-4.59,7.77,-9.35,-5.59,-0.0786,-0.467,2.21,-0.0351,-0.3582,854057,309598000,0.51,-0.0978,"2020-10-26T16:09:53.719Z"
"OIBR4",2.26,-0.76,1.67,0.701,0,0.184,1.85,-7.5,-0.29,-18.69,6.58,-0.0934,-0.9274,1.61,-0.0286,-2.1917,31403800,8075470000,3.23,-0.0793,"2020-10-26T16:09:53.719Z"
"CTNM4",6,-0.76,0.21,0.106,0,0.043,1.66,-6.09,-0.15,-49.17,23.36,-0.0174,-0.24170000000000003,1.08,-0.0079,-0.28190000000000004,90897.8,862529000,1.79,-0.1344,"2020-10-26T16:09:53.719Z"
"MMXM3",14.91,-0.76,-0.12,377.875,0,0.762,-0.11,-3,-0.1,-10.95,-10.95,-126.016,-501.293,0.02,-0.4278,0.1562,13274400,-819855000,-0.31,-0.0388,"2020-10-26T16:09:53.719Z"
"VIVR3",1.27,-0.74,-0.78,-1.827,0,0.25,-0.48,-2.02,-0.27,-5.23,-5.47,0.9025,2.4755000000000003,0.44,-0.1305,1.0627,909501,-154240000,-1.32,-0.4971,"2020-10-26T16:09:53.719Z"
"AZUL4",26.14,-0.73,-0.71,0.943,0,0.59,-1.42,-3.27,-0.37,-9.7,23.5,-0.2884,-1.2836,0.36,-0.2502,0.9628,386222000,-12648200000,-1.52,0.061200000000000004,"2020-10-26T16:09:53.719Z"
"LATM11",28.65,-0.68,0.02,0.006,0,0.003,-0.02,0.05,0,7.74,7.74,0.11460000000000001,-0.0039000000000000003,0.49,0.0655,-0.023700000000000002,0,11357000000,2.92,0.16690000000000002,"2020-10-26T16:09:53.719Z"
"CELM3",15,-0.67,-0.16,0.257,0,0.132,-0.21,-1.02,-0.1,-4.26,-4.26,-0.2514,-0.3836,0.44,-0.156,0.2341,0,-11104000,-0.66,0.057999999999999996,"2020-10-26T16:09:53.719Z"
"IENG5",0.12,-0.65,0.79,1.374,0,0.088,-0.93,3.1,-0.24,24.33,24.33,0.4429,-2.2461,0.85,0.028399999999999998,-1.2241,0,52234000,5.45,0.08130000000000001,"2020-10-26T16:09:53.719Z"
"LUPA3",2.07,-0.59,0.97,-3.204,0,0.106,0.45,-1.37,-0.21,-5.32,-6.67,2.3350999999999997,5.265599999999999,2.65,-0.0825,-1.6582,831884,54923000,3.13,-0.10060000000000001,"2020-10-26T16:09:53.719Z"
"CEED4",98.98,-0.59,-0.2,0.287,0,0.244,-0.24,-2.16,-0.12,-4.35,-6.53,-0.1328,-0.4889,0.2,-0.1363,0.3346,485.32,-4883560000,-0.22,0.0591,"2020-10-26T16:09:53.719Z"
"ESTR3",20,-0.56,-0.03,0.156,0,0.076,-0.03,-1.74,-0.03,-6.37,-10.53,-0.08929999999999999,-0.2781,0.16,-0.049,0.0588,0,-491461000,-0.09,-0.09300000000000001,"2020-10-26T16:09:53.719Z"
"OIBR3",1.65,-0.56,1.22,0.512,0,0.134,1.35,-5.48,-0.21,-16.66,5.87,-0.0934,-0.9274,1.61,-0.0286,-2.1917,272636000,8075470000,3.23,-0.0793,"2020-10-26T16:09:53.719Z"
"JBDU4",2.15,-0.51,0.16,0,0,0.056,0,1.42,0,1.42,1.42,0,0,0,0,-0.3141,196006,67440000,0,0,"2020-10-26T16:09:53.719Z"
"DMMO3",1.28,-0.5,-0.33,0.964,0,0.286,-0.7,-3.4,-0.17,-9,-22.98,-0.28309999999999996,-1.9413,0.29,-0.1201,0.6595,12386900,-1055770000,-0.61,0.0336,"2020-10-26T16:09:53.719Z"
"SUZA4",13.9,-0.5,3.21,0.084,0,0.022,0.3,0.49,-0.03,14.3,4.18,0.1722,-0.6203,1.58,0.0525,-6.4683,0,748885000,107.67,0.3046,"2020-10-26T16:09:53.719Z"
"PMAM3",10.59,-0.49,-2.3,0.102,0,0.12,-0.21,-2.15,-0.19,-14.95,-47.78,-0.0475,-0.2084,0.42,-0.0667,4.6879,1006310,-199495000,-14.98,0.0044,"2020-10-26T16:09:53.719Z"
"REEM4",4.63,-0.48,-0.08,0.197,0,0.137,-0.14,-4.33,-0.07,-3.84,-6.01,-0.0454,-0.4065,0.45,0.0461,0.1578,0,-372708000,0,-0.1359,"2020-10-26T16:09:53.719Z"
"CCXC3",1.16,-0.48,-0.04,0,0,0.185,0,-0.65,0,-0.52,-0.52,0,0,0,0,0.0785,0,-52699000,0,0,"2020-10-26T16:09:53.719Z"
"MWET4",7.09,-0.46,-0.07,0.095,0,0.086,-0.11,-1.49,-0.04,-9.06,-16.61,-0.0636,-0.2064,0.22,-0.0683,0.1438,178943,-220444000,-0.34,0.07,"2020-10-26T16:09:53.719Z"
"RSID3",5.48,-0.42,-0.14,1.941,0,0.05,-0.09,-1.14,-0.05,-17.32,-18.77,-1.7006000000000001,-4.6929,0.4,-0.048799999999999996,0.34,434302,-651709000,-2.11,-0.5333,"2020-10-26T16:09:53.719Z"
